RefSeq_oriC,Prediction,Correct
NC_018416_0,-1.0003570677213256,False
NC_018416_1,-0.8016573677684002,False
NC_018416_2,-1.018770975122579,False
NC_018416_3,-1.0042959899054162,False
NC_018416_4,-1.0042959899054162,False
NC_021916_0,-1.0417159026861649,False
NC_021916_1,-1.0324435458447008,False
NC_021916_2,-1.0324435458447008,False
NC_021916_3,-1.006084334674342,False
NC_021916_4,-1.030943872761072,False
NC_021916_5,-1.0114354995776305,False
NC_021916_6,-1.0114354995776305,False
NC_010118_0,-1.141518761921973,False
NC_010118_1,-0.9950561387642844,False
NC_010118_2,-1.028959217141506,False
NC_010118_3,-1.0167353485444162,False
NC_010118_4,-1.0069940172036107,False
NC_010118_5,-1.0002099137366267,False
NC_004545_0,0.28736456827564094,True
NC_004545_1,-1.0160395777069278,False
NC_007494_0,-0.999010642110421,True
NC_007494_1,-1.0066775824505507,False
NC_007494_2,-1.025086992245094,False
NC_007494_3,-1.025086992245094,False
NC_007494_4,-1.0005671185635956,False
NC_006055_0,1.3835050232266743,True
NC_006055_1,-0.9751927678974264,False
NC_014448_0,-0.5901627616598342,False
NC_014448_1,-0.5725226134794932,False
NC_014448_2,-1.0399167140276555,False
NC_014448_3,-1.0109893177324532,False
NC_023004_0,-1.1425773164486666,True
NC_023004_1,-1.0890040861934276,False
NC_023004_2,-1.0008874426287386,False
NC_020419_0,1.3835050232266743,True
NC_020419_1,-0.9751927678974264,False
NC_017953_0,-0.9997750494268169,False
NC_017953_1,1.3404099249838444,True
NC_017429_0,-1.1784862678277088,False
NC_017429_1,1.000027867162685,True
NC_016638_0,-0.7018249538344046,True
NC_016638_1,-1.0046182221498734,False
NC_016638_2,-1.0289376587892898,False
NC_017503_0,-1.0499269126106876,True
NC_017503_1,-1.0258266032749086,False
NC_017503_2,-1.0207800528794175,False
NC_017503_3,-1.009243013986663,False
NC_017177_0,-1.0318427148077385,False
NC_017177_1,-0.6423429153412892,False
NC_002506_0,0.22245268103480864,True
NC_002506_1,-1.018391717471105,False
NC_002506_2,-1.018391717471105,False
NC_002506_3,-1.05264872352737,False
NC_016931_0,-1.7405353198052476,False
NC_016931_1,-1.054089401299053,False
NC_016931_2,-1.2554881941318294,False
NC_016931_3,-1.0293573571143506,False
NC_016931_4,-0.9997361719993316,False
NC_021897_0,-0.9640556534324256,False
NC_021897_1,1.0957042575724065,True
NC_017042_0,0.26980212643813584,False
NC_017042_1,-1.106960156910362,True
NC_017042_2,-1.0086711531385797,False
NC_017042_3,-1.0226625473944617,False
NC_017042_4,-1.063257222783279,False
NC_021891_0,-1.4569073231083403,False
NC_021891_1,1.0000177969508561,True
NC_021891_2,-1.0963972584379187,False
NC_013532_0,-0.815178425247411,True
NC_013532_1,-1.0951429884115962,False
NC_013532_2,-1.09251547309188,False
NC_013532_3,-0.9948612335017097,False
NC_013532_4,-1.16484068935985,False
NC_017366_0,-1.0803294248429731,True
NC_017366_1,-1.0903403318368001,False
NC_017366_2,-1.009256131029006,False
NC_017366_3,-1.066975492257769,False
NC_017366_4,-1.0300960166117799,False
NC_017366_5,-1.0431889248416164,False
NC_019439_0,-1.0038038105703047,False
NC_019439_1,-1.0196691612436846,False
NC_019439_2,-1.0196691612436846,False
NC_019439_3,-1.0088945870577684,False
NC_019439_4,-1.0275622182848574,False
NC_019439_5,-1.0170032833815705,False
NC_019439_6,-0.9998675631681815,True
NC_019439_7,-1.0074988533138916,False
NC_002936_0,-1.1381127963129964,True
NC_002936_1,-1.575278616957875,False
NC_002936_2,-1.044676296584968,False
NC_002936_3,-1.0597619287897553,False
NC_016628_0,1.0004439049951364,True
NC_022660_0,1.0709957250703317,True
NC_022660_1,-1.0196079311481592,False
NC_022660_2,-1.025454509437254,False
