RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9
NC_000908,Mycoplasma genitalium G37,"Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(578582.0, 579223.0)",,,,580076,True,0.3168912349416283,9.935569047927856,578299,364656.0,480519.0,104160.0,288765.0,,,,,,0.4984659814948196,0.4374833272798534,0.2934421831105858,0.2315404772604617,0.0565084015119335,,,,,,0.5,0.2222222222222222,0.0555555555555555,0.0555555555555555,0.1666666666666666,,,,,,0.995397944484459,0.2568944262840047,0.6581043271095351,0.6390658762258297,0.002858537869134,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,
NZ_CP019639,Mycoplasma bovis strain 08M,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1016571.0, 1016753.0)","(1402.0, 1534.0)",,,1016753,True,0.2927367807127198,18.45221447944641,12428,635163.0,219355.0,387440.0,496120.0,,,,,,0.5270833333333333,0.3050454800437744,0.2636475449941974,0.1603128126989902,0.0875,,,,,,0.28125,0.28125,0.21875,0.15625,0.0625,,,,,,1.0,0.2338864401313232,0.5721926349825922,0.2246884380969708,0.0,,,,,,0.3,0.4,0.0,0.1,0.2,,,,,
NZ_CP016780,Candidatus Planktophila lacus isolate MMS-IIB-106 chromosome,"Bacteria, Actinobacteria, Candidatus Nanopelagicales, Candidatus Planktophila","(1384648.0, 162.0)","(1576.0, 1962.0)",,,1384812,True,0.4777507705016999,42.01610612869263,1279999,451592.0,291245.0,1015986.0,779316.0,,,,,,0.4700530263071192,0.3843648202747103,0.3633232080638648,0.2262214460218285,0.0299469736928807,,,,,,0.4117647058823529,0.2058823529411764,0.2058823529411764,0.088235294117647,0.088235294117647,,,,,,0.9983943730390048,0.3148591667064838,0.6340872712504181,0.4727819851243091,0.001605626960995,,,,,,0.0,0.0,0.0,0.75,0.25,,,,,
NC_007482,Pseudoalteromonas haloplanktis TAC125 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas","(634716.0, 159.0)",,,,635328,False,0.39367224488768,40.84539604187012,22830,121622.0,511351.0,325289.0,198215.0,416272.0,,,,,0.196969696969697,0.1515151515151515,0.106060606060606,0.0909090909090909,0.0757575757575757,0.0454545454545454,,,,,0.4090909090909091,0.2272727272727272,0.0909090909090909,0.0909090909090909,0.1363636363636363,0.0454545454545454,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.0909090909090909,0.0909090909090909,0.0909090909090909,,,,
NZ_CP018823,Helicobacter pylori strain PMSS1 complete genome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1536703.0, 1536854.0)","(1535109.0, 1535328.0)",,,1618480,True,0.3901493994365083,49.77584457397461,821008,1616172.0,134683.0,1180116.0,655517.0,,,,,,0.3562409449005259,0.3263440860215054,0.3134408602150538,0.2669936330725689,0.232258064516129,,,,,,0.35,0.35,0.15,0.05,0.1,,,,,,0.4929163830886743,0.4929163830886743,0.5,0.5,0.5,,,,,,0.2258064516129032,0.1290322580645161,0.2903225806451613,0.2580645161290322,0.0967741935483871,,,,,
NC_012960,Candidatus Hodgkinia cicadicola Dsem,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Candidatus Hodgkinia","(18761.0, 19062.0)",,,,143795,True,0.5838520115442123,28.99337935447693,56,126186.0,90387.0,43935.0,,,,,,,0.1578947368421052,0.087719298245614,0.0526315789473684,0.0350877192982456,,,,,,,0.4736842105263157,0.2631578947368421,0.1578947368421052,0.1052631578947368,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
NC_005824,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 chromosome 1I,"Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira","(346973.0, 347216.0)",,,,350181,True,0.3498105265562666,45.01938605308533,349535,62673.0,157948.0,201079.0,238936.0,,,,,,0.1666666666666666,0.1541666666666666,0.1291666666666666,0.1291666666666666,0.0875,,,,,,0.5,0.0625,0.0625,0.1875,0.1875,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.4,0.2,0.2,0.2,,,,,
NC_022130,Helicobacter pylori SouthAfrica20,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1482080.0, 1482232.0)","(1480490.0, 1480711.0)",,,1622903,True,0.385660757297263,51.98780608177185,1474911,226.0,1223397.0,1036690.0,144184.0,865545.0,720975.0,,,,0.4729411764705882,0.3723600099618379,0.3138976190208687,0.2985394828333065,0.2755100833440483,0.1033950164178911,0.0724183006535947,,,,0.36,0.12,0.32,0.04,0.04,0.04,0.08,,,,1.0,0.8206094416502197,0.6663987394155473,0.4187557034018803,0.6296675049341058,0.1917536767046539,0.0,,,,0.0588235294117647,0.1764705882352941,0.2352941176470588,0.1568627450980392,0.1568627450980392,0.0784313725490196,0.1372549019607843,,,
NC_006831,Ehrlichia ruminantium str. Gardel,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Ehrlichia","(4149.0, 4564.0)",,,,1499920,False,0.2751260067203584,49.23567271232605,12135,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,
NC_017358,Helicobacter pylori Cuz20 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1551983.0, 1552134.0)","(1550395.0, 1550614.0)",,,1635449,False,0.3886376157251006,52.77441167831421,1564576,214043.0,539172.0,1090197.0,789547.0,1389460.0,946414.0,,,,0.3780450269159577,0.299341323212254,0.2792795948171923,0.2436987365632482,0.2328962674274457,0.1781651722791108,0.1603654032299149,,,,0.4166666666666667,0.125,0.125,0.0833333333333333,0.1666666666666666,0.0416666666666666,0.0416666666666666,,,,0.6063573029700953,0.6063573029700953,0.6063573029700953,0.3653554689490039,0.3653554689490039,0.3653554689490039,0.4002362575780732,,,,0.1111111111111111,0.1481481481481481,0.2407407407407407,0.1666666666666666,0.1666666666666666,0.0925925925925925,0.074074074074074,,,
