RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,GC_Concentration,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Occurance_oriC_0,Occurance_oriC_1,Occurance_oriC_2,Occurance_oriC_3,Occurance_oriC_4,Occurance_oriC_5,Occurance_oriC_6,Occurance_oriC_7,Occurance_oriC_8,Occurance_oriC_9
NC_018672,Burkholderia phenoliruptrix BR3459a chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(1336937.0, 1337287.0)",,,,2713495,False,0.6369777722089041,1329399,,,,,,,,,,1.0,,,,,,,,,
NZ_AP014635,"Vibrio tritonius DNA, chromosome 1, complete genome, strain: JCM 16456.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(7411.0, 7720.0)",,,,3434724,False,0.4395782601455022,3434222,,,,,,,,,,1.0,,,,,,,,,
NZ_CP014167,"Paenibacillus yonginensis strain DCY84 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus","(4180766.0, 4181471.0)","(4179136.0, 4179415.0)",,,4985901,False,0.5101443049109881,4177804,,,,,,,,,,1.0,,,,,,,,,
NZ_LT671418,"Herminiimonas sp. AS8 genome assembly, chromosome: I.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Herminiimonas","(2539445.0, 2540199.0)",,,,3784322,False,0.5128369097555652,2485454,216.0,,,,,,,,,0.5,0.5,,,,,,,,
NZ_CP025543,"Spiroplasma monobiae MQ-1 chromosome, complete genome.","Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(891289.0, 891575.0)",,,,891575,False,0.2775694697585733,887910,,,,,,,,,,1.0,,,,,,,,,
NZ_CP013119,"Alcaligenes faecalis strain ZD02, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Alcaligenes","(2414896.0, 2415782.0)",,,,4233756,False,0.5682748368115688,2407386,4232907.0,,,,,,,,,0.5,0.5,,,,,,,,
NZ_CP025057,"Spiroplasma floricola strain 23-6 chromosome, complete genome.","Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1283845.0, 1284130.0)",,,,1284130,False,0.243325831496811,16,,,,,,,,,,1.0,,,,,,,,,
NZ_CP016534,"Planococcus antarcticus DSM 14505, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus","(3765056.0, 3765545.0)","(1345.0, 1515.0)",,,3765545,False,0.4323934516783095,3532,,,,,,,,,,1.0,,,,,,,,,
NZ_CP011797,"Reinekea forsetii strain Hel1_31_D35, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Saccharospirillaceae, Reinekea","(3659504.0, 53.0)",,,,3660060,False,0.5299839346895953,3655476,,,,,,,,,,1.0,,,,,,,,,
NZ_CP013934,"Weissella cibaria strain CMS3, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Weissella","(18659.0, 19401.0)",,,,2342907,False,0.4531823072789487,19553,,,,,,,,,,1.0,,,,,,,,,
NZ_CP019573,"Auricoccus indicus strain S31 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Auricoccucs","(1723654.0, 1724235.0)",,,,1745789,False,0.3406436860353685,1725025,,,,,,,,,,1.0,,,,,,,,,
NC_014962,Isosphaera pallida ATCC 43644 chromosome,"Bacteria, Planctomycetes, Planctomycetacia, Planctomycetales, Planctomycetaceae, Isosphaera","(3096175.0, 3097169.0)",,,,5472964,True,0.6244407966140468,2443074,7473.0,2931074.0,4593782.0,946590.0,,,,,,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.0769230769230769,,,,,
NC_019675,Cyanobium gracile PCC 6307 chromosome,"Bacteria, Cyanobacteria, Chroococcales, Cyanobium","(2314410.0, 2314782.0)",,,,3342364,True,0.6870717851197535,1676224,2902459.0,535710.0,,,,,,,,0.6470588235294118,0.1764705882352941,0.1764705882352941,,,,,,,
NC_014972,Desulfobulbus propionicus DSM 2032 chromosome,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfobulbus","(3694272.0, 3695029.0)",,,,3851869,True,0.5892757515896828,9668,3478278.0,,,,,,,,,0.7272727272727273,0.2727272727272727,,,,,,,,
NZ_CP012395,"Clostridium autoethanogenum DSM 10061, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(2263897.0, 2264152.0)","(2261947.0, 2262543.0)",,,4352446,False,0.3109210315303165,2276483,2680.0,,,,,,,,,0.5625,0.4375,,,,,,,,
NC_006833,Wolbachia endosymbiont strain TRS of Brugia malayi,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Wolbachieae, Wolbachia","(1079740.0, 110.0)",,,,1080084,False,0.34179100884746,1072858,221094.0,,,,,,,,,0.7,0.3,,,,,,,,
NZ_CP022203,Myxococcus macrosporus DSM 14697 chromosome,"Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales,Cystobacterineae, Myxococcaceae, Myxococcus","(27600.0, 27964.0)",,,,8973512,False,0.7062036580549511,22856,,,,,,,,,,1.0,,,,,,,,,
NZ_CP006018,"Bifidobacterium indicum LMG 11587 = DSM 20214, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(1771.0, 2181.0)",,,,1734546,False,0.6049335099789801,8951,,,,,,,,,,1.0,,,,,,,,,
NZ_CP009108,"Bacillus pumilus strain GR-8, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus","(966904.0, 967099.0)","(964943.0, 965562.0)",,,3674849,False,0.4142439594116656,969279,30.0,,,,,,,,,0.6428571428571429,0.3571428571428571,,,,,,,,
NC_018178,Melioribacter roseus P3M chromosome,"Bacteria, Ignavibacteria, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Melioribacter","(1202105.0, 1202407.0)","(1200303.0, 1200691.0)",,,3300414,True,0.4132811823001599,8317,1226928.0,1535007.0,,,,,,,,0.4375,0.4375,0.125,,,,,,,
NC_009881,Rickettsia akari str. Hartford,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1230675.0, 1231060.0)",,,,1231060,False,0.3233473591863922,13152,1003074.0,,,,,,,,,0.75,0.25,,,,,,,,
NZ_CP015839,"Marinobacterium sp. ST58-10, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Marinobacterium","(5182176.0, 5183215.0)",,,,5191608,False,0.5879157286143329,5226,,,,,,,,,,1.0,,,,,,,,,
NC_014118,Burkholderia sp. CCGE1002 chromosome chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(2044492.0, 2045218.0)",,,,2593966,False,0.6322993439389722,2051785,1799234.0,2545739.0,,,,,,,,0.4666666666666667,0.3333333333333333,0.2,,,,,,,
NC_014119,Burkholderia sp. CCGE1002 chromosome chromosome 3,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(740119.0, 741431.0)",,,,1282816,False,0.6261763183496308,743664,32665.0,,,,,,,,,0.75,0.25,,,,,,,,
NZ_CP015196,"Streptococcus marmotae strain HTS5 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(783010.0, 783209.0)",,,,2309282,False,0.4092107416937385,781381,,,,,,,,,,1.0,,,,,,,,,
NC_014216,Desulfurivibrio alkaliphilus AHT2 chromosome,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfurivibrio","(2444764.0, 2445138.0)",,,,3097763,False,0.6028630983067459,2419325,,,,,,,,,,1.0,,,,,,,,,
NC_009633,Alkaliphilus metalliredigens QYMF,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Alkaliphilus","(4928949.0, 49.0)","(1397.0, 1628.0)",,,4929566,False,0.3682202449465125,49778,,,,,,,,,,1.0,,,,,,,,,
NZ_CP018632,"Granulosicoccus antarcticus IMCC3135, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Granulosicoccaceae, Granulosicoccus","(1694.0, 1955.0)",,,,7783862,False,0.528605209085156,3613,,,,,,,,,,1.0,,,,,,,,,
NZ_CP015438,"Anoxybacillus amylolyticus strain DSM 15939 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Anoxybacillus","(192954.0, 193467.0)","(191437.0, 191606.0)",,,2834744,False,0.4368606124574212,188472,,,,,,,,,,1.0,,,,,,,,,
NZ_CP008849,"Alteromonas australica strain H 17, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4301292.0, 4301954.0)",,,,4308833,False,0.4493028622831286,4292786,,,,,,,,,,1.0,,,,,,,,,
NC_013642,Thermotoga naphthophila RKU-10,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(807603.0, 808159.0)",,,,1809823,False,0.4614075520092296,148206,793408.0,1127459.0,1314709.0,1541386.0,300999.0,1771858.0,448852.0,,,0.2058823529411764,0.2058823529411764,0.1470588235294117,0.1470588235294117,0.088235294117647,0.088235294117647,0.0588235294117647,0.0588235294117647,,
NZ_CP021425,"Oleiphilus messinensis strain ME102 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oleiphilaceae, Oleiphilus","(6378208.0, 100.0)",,,,6379281,False,0.477966404050864,6378105,,,,,,,,,,1.0,,,,,,,,,
NZ_CP017111,Sulfurospirillum halorespirans DSM 13726 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales,Campylobacteraceae, Sulfurospirillum","(3029840.0, 157.0)",,,,3029840,False,0.4131620811660021,694,,,,,,,,,,1.0,,,,,,,,,
NC_019566,Thalassobaculum sp. L2 chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Candidatus Endolissoclinum","(1481175.0, 400.0)",,,,1481191,True,0.341450224852838,700740,564277.0,1480840.0,,,,,,,,0.4285714285714285,0.3333333333333333,0.238095238095238,,,,,,,
NC_013592,Dickeya dadantii Ech586,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Dickeya","(4747164.0, 4747542.0)",,,,4818394,False,0.5363907559240693,4768265,,,,,,,,,,1.0,,,,,,,,,
NZ_CP017560,"Lysinibacillus sphaericus strain LMG 22257 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Lysinibacillus","(234986.0, 235596.0)",,,,3436578,False,0.3899114176951607,246527,3430902.0,,,,,,,,,0.75,0.25,,,,,,,,
NZ_CP014035,"Vibrio fluvialis strain ATCC 33809 chromosome 2, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(2724690.0, 2724998.0)",,,,3155838,True,0.5003894369736342,6280,2721510.0,,,,,,,,,0.5,0.5,,,,,,,,
NZ_CP019698,"Desulfotomaculum ferrireducens strain GSS09 chromosome, complete genome.","Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum","(122552.0, 122926.0)",,,,3240180,False,0.4537908387805616,76081,,,,,,,,,,1.0,,,,,,,,,
NZ_CP007445,"Gilliamella apicola strain wkB1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Orbales, Orbaceae, Gilliamella","(1.0, 942.0)",,,,3139412,False,0.3361728247200431,3139161,2006769.0,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,
NZ_CP007501,"Polynucleobacter duraquae strain MWH-MoK4, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Polynucleobacter","(2026072.0, 45.0)","(1426.0, 1690.0)",,,2026292,False,0.4516012499679217,653,,,,,,,,,,1.0,,,,,,,,,
NC_018149,Mycoplasma wenyonii str. Massachusetts chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(650129.0, 174.0)",,,,650228,True,0.3392225496287456,636658,324995.0,157195.0,395684.0,94692.0,,,,,,0.391304347826087,0.217391304347826,0.1739130434782608,0.1304347826086956,0.0869565217391304,,,,,
NC_017082,Bradyrhizobium sp. S23321,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium","(7230597.0, 7231841.0)",,,,7231841,False,0.6429802591069135,136845,,,,,,,,,,1.0,,,,,,,,,
NZ_CP016757,"Cloacibacillus porcorum strain CL-84 chromosome, complete genome.","Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Cloacibacillus","(3584800.0, 323.0)","(1659.0, 1887.0)",,,3585187,False,0.5483881314977433,13356,,,,,,,,,,1.0,,,,,,,,,
NZ_AP014509,Thermotoga caldifontis AZM44c09 DNA,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(315913.0, 316450.0)",,,,2014912,True,0.5133315995934313,2930,301731.0,1444131.0,,,,,,,,0.5294117647058824,0.2941176470588235,0.1764705882352941,,,,,,,
NC_014666,Frankia sp. EuI1c chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Frankineae, Frankiaceae, Frankia","(1691.0, 2875.0)",,,,8815781,False,0.7231400144808497,8810377,,,,,,,,,,1.0,,,,,,,,,
